ID,Gene Symbol,ENTREZ_GENE_ID,ABS_CALL
1555330_at,GCLC,2729,0
1555332_at,TPH2,121278,0
1555338_s_at,AQP10,89872,0
1555345_at,SLC38A4,55089,0
1555358_a_at,ENTPD4,9583,1
1555359_at,PIGQ,9091,0
1555385_at,B4GALNT1,2583,0
1555394_at,PIGK,10026,0
1555416_a_at,ALOX15B,247,1
1555419_a_at,ASAH1,427,1
1555445_at,CA8,767,0
1555476_at,IREB2,3658,0
1555497_a_at,CYP4B1,1580,0
1555504_at,TYR,7299,0
1555505_a_at,TYR,7299,0
1555539_at,SDS,10993,0
1555548_at,NDUFA10,4705,0
1555553_a_at,SLC22A7,10864,0
1555560_at,UGGT2,55757,0
1555561_a_at,UGGT2,55757,1
1555572_at,CA6,765,0
1555610_at,AGK,55750,0
1555612_s_at,G6PC,2538,0
1555678_at,ST3GAL3,6487,0
1555685_at,H6PD,9563,0
1555702_a_at,ST3GAL3,6487,1
1555703_at,ST3GAL3,6487,0
1555855_at,AKR1C1,1645,0
1555856_s_at,AKR1C1,1645,0
1555864_s_at,PDHA1,5160,1
1555866_a_at,HEXDC,284004,1
1555962_at,B3GNT7,93010,0
1555963_x_at,B3GNT7,93010,1
1555998_at,ATP5H,10476,0
1556029_s_at,NMNAT2,23057,0
1556134_a_at,B3GNT5,84002,1
1556284_at,PPA2,27068,1
1556285_s_at,PPA2,27068,1
1556426_at,HEXA,3073,0
1556583_a_at,SLC8A1,6546,0
1556841_a_at,ALDH1L2,160428,0
1557126_a_at,PLD1,5337,0
1557158_s_at,KMT2C,58508,1
1557225_at,ASPG,374569,0
1557226_a_at,ASPG,374569,0
1557303_at,NT5C,30833,1
1557352_at,SQLE,6713,1
1557374_at,ABCC9,10060,1
1557418_at,ACSL4,2182,0
1557419_a_at,ACSL4,2182,0
1557532_at,NDUFA7,4701,0
1557585_at,ATP6V1H,51606,0
1557586_s_at,ATP6V1H,51606,1
1557649_at,GALE,2582,0
1557651_x_at,GALE,2582,0
