#ID_REF = 
#VALUE = linear expression value; rma
#ABS_CALL = MAS 5.0 absolute detection
ID_REF	VALUE	ABS_CALL
1007_s_at	534.63	P
1053_at	594.64	P
117_at	44.84	A
121_at	136.74	M
1255_g_at	11.67	A
1294_at	161.02	P
1316_at	48.72	P
1320_at	40.76	A
1405_i_at	18.99	P
1431_at	12.6	A
1438_at	47.15	A
1487_at	163.05	M
1494_f_at	29.9	A
1598_g_at	595.42	P
160020_at	138.32	P
1729_at	334.12	P
177_at	38.72	P
1773_at	95.26	P
179_at	311.1	A
1861_at	289.65	P
200000_s_at	1462.91	P
200001_at	3340.21	P
200002_at	6693.97	P
200003_s_at	7158.23	P
200004_at	3950.89	P
200005_at	2303.5	P
200006_at	4343.54	P
200007_at	3847.07	P
200008_s_at	1923.6	P
200009_at	3876.06	P
200010_at	6375.21	P
200011_s_at	947.86	P
200012_x_at	7886.64	P
200013_at	6553.73	P
200014_s_at	2427.23	P
200015_s_at	2293.76	P
200016_x_at	6500	P
200017_at	5769.42	P
200018_at	8080.59	P
200019_s_at	5017.23	P
200020_at	1511.5	P
200021_at	7947.51	P
200022_at	8038.76	P
200023_s_at	4086.5	P
200024_at	6349.1	P
200025_s_at	7529.11	P
200026_at	5739.99	P
200027_at	2080.32	P
200028_s_at	1764.16	P
200029_at	7341.7	P
200030_s_at	5305.51	P
200031_s_at	7914.69	P
200032_s_at	8172.8	P
200033_at	4490.47	P
200034_s_at	4977.32	P
200035_at	646.5	P
200036_s_at	5540.61	P
200037_s_at	1958.24	P
200038_s_at	7779.07	P
200039_s_at	2908.02	P
200040_at	2176.23	P
200041_s_at	2861.19	P
200042_at	1213.14	P
200043_at	3824.27	P
200044_at	2265.78	P
200045_at	982.5	P
200046_at	2223.01	P
200047_s_at	1761.61	P
200048_s_at	2139.72	P
200049_at	367.61	P
200050_at	905.16	P
200051_at	306.77	P
200052_s_at	2334.06	P
200053_at	664.49	P
200054_at	347.12	P
200055_at	954.89	P
200056_s_at	369.78	P
200057_s_at	3948.14	P
200058_s_at	1007.23	P
200059_s_at	5493.13	P
200060_s_at	2132.23	P
200061_s_at	8277.16	P
200062_s_at	6523.85	P
200063_s_at	7022.93	P
200064_at	5849.84	P
200065_s_at	3971.49	P
200066_at	1117.3	P
200067_x_at	2081.11	P
200068_s_at	3014.48	P
200069_at	329.93	P
200070_at	190.9	P
200071_at	897.81	P
200072_s_at	3082.68	P
200073_s_at	2159.39	P
200074_s_at	3945.54	P
200075_s_at	1525.05	P
200076_s_at	672.96	P
200077_s_at	7245.59	P
200078_s_at	1653.69	P
200079_s_at	2768.81	P
200080_s_at	3755.29	P
200081_s_at	8306.8	P
200082_s_at	7896.34	P
200083_at	1016.48	P
200084_at	1779.5	P
200085_s_at	3324.89	P
200086_s_at	3592.07	P
200087_s_at	2466.4	P
200088_x_at	8326.19	P
200089_s_at	6100.04	P
200090_at	1638.78	P
200091_s_at	4415.43	P
200092_s_at	7453.13	P
200093_s_at	2919.46	P
200094_s_at	4881.87	P
200095_x_at	10640.15	P
200096_s_at	2758.67	P
200097_s_at	2138.34	P
200098_s_at	1373.96	P
200099_s_at	8025.05	P
200593_s_at	1649.66	P
200594_x_at	2601.22	P
200595_s_at	1532.39	P
200596_s_at	1800.03	P
200597_at	307.76	P
200598_s_at	2752.13	P
200599_s_at	2809.58	P
200600_at	1245.74	P
200601_at	1312.3	P
200602_at	479.8	P
200603_at	1909.24	P
200604_s_at	1467.73	P
200605_s_at	2408.67	P
200606_at	2540.14	P
200607_s_at	1099.18	P
200608_s_at	1155.83	P
200609_s_at	2330.29	P
200610_s_at	3088.6	P
200611_s_at	1642.89	P
200612_s_at	440.18	P
200613_at	3279.59	P
200614_at	4577.32	P
200615_s_at	633.32	P
200616_s_at	819.04	P
200617_at	906.62	P
200618_at	2295.66	P
200619_at	1128.96	P
200620_at	1672.52	P
200621_at	2095.5	P
200622_x_at	676.92	P
200623_s_at	551.79	P
200624_s_at	2379.32	P
200625_s_at	3412.48	P
200626_s_at	2257.17	P
200627_at	5735.87	P
200628_s_at	569.72	P
200629_at	781.88	P
200630_x_at	2110.32	P
200631_s_at	3670.56	P
200632_s_at	145.89	P
200633_at	8789.23	P
200634_at	4647.58	P
200635_s_at	475.64	P
200636_s_at	1254.48	P
200637_s_at	351.47	P
200638_s_at	2351.72	P
200639_s_at	2421.59	P
200640_at	2839.77	P
200641_s_at	2541.94	P
200642_at	4005.96	P
200643_at	675.03	P
200644_at	2133.12	P
200645_at	1962.39	P
200646_s_at	163.1	P
200647_x_at	4439.77	P
200648_s_at	186.76	P
200649_at	369.45	P
200650_s_at	7918.36	P
200651_at	7875.04	P
200652_at	2565.84	P
200653_s_at	2366.5	P
200654_at	3443.69	P
200655_s_at	2373.19	P
200656_s_at	1922.18	P
200657_at	5094.24	P
