#ID_REF = 
#VALUE = linear expression value; rma
#ABS_CALL = MAS 5.0 absolute detection
ID_REF	VALUE	ABS_CALL
1007_s_at	536.37	P
1053_at	644.28	P
117_at	44.41	A
121_at	140.26	P
1255_g_at	11.99	A
1294_at	162.59	P
1316_at	40.04	P
1320_at	39.81	M
1405_i_at	16.6	A
1431_at	12.96	M
1438_at	41.99	A
1487_at	182.29	P
1494_f_at	29.17	A
1598_g_at	521.06	P
160020_at	142.11	P
1729_at	317.97	P
177_at	41.08	P
1773_at	105.15	P
179_at	288.35	A
1861_at	304.63	P
200000_s_at	1388.56	P
200001_at	2935.94	P
200002_at	6673.32	P
200003_s_at	7163.81	P
200004_at	3932.23	P
200005_at	2199.26	P
200006_at	4476.06	P
200007_at	3797.42	P
200008_s_at	1818.13	P
200009_at	3597.93	P
200010_at	6247.54	P
200011_s_at	945.92	P
200012_x_at	8328.35	P
200013_at	6835.64	P
200014_s_at	2652.78	P
200015_s_at	2381.51	P
200016_x_at	6592.23	P
200017_at	5596.58	P
200018_at	8080.59	P
200019_s_at	4639.5	P
200020_at	1571.67	P
200021_at	7888.99	P
200022_at	8006.59	P
200023_s_at	3993.36	P
200024_at	6391.12	P
200025_s_at	7315.18	P
200026_at	5376.78	P
200027_at	2212.96	P
200028_s_at	1957.02	P
200029_at	7204.95	P
200030_s_at	5060.9	P
200031_s_at	7971.37	P
200032_s_at	8279.05	P
200033_at	4309.92	P
200034_s_at	5285.04	P
200035_at	537.94	P
200036_s_at	5820.73	P
200037_s_at	2019.69	P
200038_s_at	7574.89	P
200039_s_at	2715.78	P
200040_at	2277.4	P
200041_s_at	2639.29	P
200042_at	1355.87	P
200043_at	4336.7	P
200044_at	2520.74	P
200045_at	889.03	P
200046_at	2123.69	P
200047_s_at	1768.45	P
200048_s_at	2150.57	P
200049_at	388.32	P
200050_at	1001.75	P
200051_at	318.86	P
200052_s_at	2029.82	P
200053_at	647.52	P
200054_at	364.1	P
200055_at	852.36	P
200056_s_at	465.9	P
200057_s_at	3884.98	P
200058_s_at	1072.09	P
200059_s_at	5301.96	P
200060_s_at	2132.23	P
200061_s_at	7705.83	P
200062_s_at	7105.48	P
200063_s_at	7065.55	P
200064_at	5722.51	P
200065_s_at	4021.17	P
200066_at	1273.36	P
200067_x_at	2411.51	P
200068_s_at	3045.45	P
200069_at	483.29	P
200070_at	211	P
200071_at	961.09	P
200072_s_at	3200.95	P
200073_s_at	2380.57	P
200074_s_at	3739.15	P
200075_s_at	1460.12	P
200076_s_at	686.83	P
200077_s_at	7322.61	P
200078_s_at	1611.63	P
200079_s_at	2751.28	P
200080_s_at	3817.84	P
200081_s_at	7956.05	P
200082_s_at	7399.73	P
200083_at	967.69	P
200084_at	1899.59	P
200085_s_at	3326.4	P
200086_s_at	3659.78	P
200087_s_at	2298.36	P
200088_x_at	8463.19	P
200089_s_at	5949.32	P
200090_at	1932.87	P
200091_s_at	4332.23	P
200092_s_at	7145.82	P
200093_s_at	3071.21	P
200094_s_at	5125.49	P
200095_x_at	10589.21	P
200096_s_at	2677.04	P
200097_s_at	2078.32	P
200098_s_at	1387.44	P
200099_s_at	8038.42	P
200593_s_at	1483.83	P
200594_x_at	2657.74	P
200595_s_at	1415.28	P
200596_s_at	1684.12	P
200597_at	332.34	P
200598_s_at	2998.05	P
200599_s_at	2355.72	P
200600_at	1381.19	P
200601_at	805.04	P
200602_at	554.1	P
200603_at	1983.62	P
200604_s_at	1270.19	P
200605_s_at	2652.27	P
200606_at	2377.95	P
200607_s_at	1209.58	P
200608_s_at	1251.72	P
200609_s_at	2268.05	P
200610_s_at	3118.23	P
200611_s_at	1598.86	P
200612_s_at	633.62	P
200613_at	3078.06	P
200614_at	4577.32	P
200615_s_at	794.86	P
200616_s_at	881.27	P
200617_at	894.18	P
200618_at	2391.87	P
200619_at	1281.11	P
200620_at	1762.87	P
200621_at	1813.55	P
200622_x_at	621.16	P
200623_s_at	425.67	P
200624_s_at	2401.7	P
200625_s_at	3083.34	P
200626_s_at	2056.11	P
200627_at	5678.16	P
200628_s_at	612.37	P
200629_at	807.03	P
200630_x_at	1151.65	P
200631_s_at	3529.38	P
200632_s_at	142.65	P
200633_at	8925.49	P
200634_at	3729.31	P
200635_s_at	503.49	P
200636_s_at	1254.48	P
200637_s_at	385.3	P
200638_s_at	2295.76	P
200639_s_at	2349.45	P
200640_at	2568.96	P
200641_s_at	2311.68	P
200642_at	3891.7	P
200643_at	754.31	P
200644_at	1633.98	P
200645_at	1772.32	P
200646_s_at	114.21	P
200647_x_at	4581.63	P
200648_s_at	199.93	P
200649_at	274.64	P
200650_s_at	7480.37	P
200651_at	8205.94	P
200652_at	2347.04	P
200653_s_at	1985.38	P
200654_at	3298.84	P
200655_s_at	2048.39	P
200656_s_at	1748.77	P
200657_at	5052.18	P
200658_s_at	2725.52	P
200659_s_at	883.26	P
200660_at	1863.17	P
200661_at	1473.74	P
200662_s_at	2279.69	P
200663_at	4004.02	P
200664_s_at	757.38	P
200665_s_at	3258.55	P
200666_s_at	897.95	P
200667_at	1314.27	P
200668_s_at	2434.61	P
200669_s_at	1747.84	P
200670_at	343.76	P
200671_s_at	244.89	P
200672_x_at	192.66	P
200673_at	3215.93	P
200674_s_at	9221.74	P
200675_at	1422.3	P
200676_s_at	291.14	P
200677_at	2013.87	P
200678_x_at	1075.56	P
200679_x_at	3647.89	P
200680_x_at	7057.61	P
200681_at	3290.25	P
200682_s_at	2578.14	P
200683_s_at	937.86	P
200684_s_at	509.12	P
200685_at	281.58	P
200686_s_at	1508.33	P
200687_s_at	1428.53	P
200688_at	138.15	P
200689_x_at	7794.69	P
200690_at	349.87	P
200691_s_at	2121.26	P
200692_s_at	1180.9	P
200693_at	4043.14	P
200694_s_at	1051.65	P
200695_at	1006.04	P
