ID,Gene Symbol,ENTREZ_GENE_ID,ABS_CALL
201847_at,LIPA,3988.0,1
201882_x_at,B4GALT1,2683.0,0
201883_s_at,B4GALT1,2683.0,1
201885_s_at,CYB5R3,1727.0,1
201890_at,RRM2,6241.0,1
201892_s_at,IMPDH2,3615.0,1
201900_s_at,AKR1A1,10327.0,1
201903_at,UQCRC1,7384.0,1
201913_s_at,COASY,80347.0,1
201920_at,SLC20A1,6574.0,1
201931_at,ETFA,2108.0,1
201944_at,HEXB,3074.0,1
201963_at,ACSL1,2180.0,1
201966_at,NDUFS2,4720.0,1
201968_s_at,PGM1,5236.0,1
201971_s_at,ATP6V1A,523.0,1
201972_at,ATP6V1A,523.0,1
201995_at,EXT1,2131.0,1
202000_at,NDUFA6,4700.0,1
202001_s_at,NDUFA6,4700.0,1
202002_at,ACAA2,10449.0,1
202003_s_at,ACAA2,10449.0,1
202004_x_at,SDHC,6391.0,1
202012_s_at,EXT2,2132.0,1
202013_s_at,EXT2,2132.0,1
202022_at,ALDOC,230.0,1
202025_x_at,ACAA1,30.0,1
202026_at,SDHD,6392.0,1
202043_s_at,SMS,6611.0,1
202053_s_at,ALDH3A2,224.0,1
202054_s_at,ALDH3A2,224.0,1
202069_s_at,IDH3A,3419.0,1
202070_s_at,IDH3A,3419.0,1
202077_at,NDUFAB1,4706.0,1
202090_s_at,UQCR11,10975.0,1
202108_at,PEPD,5184.0,1
202110_at,COX7B,1349.0,1
202111_at,SLC4A2,6522.0,1
202139_at,AKR7A2,8574.0,1
202144_s_at,ADSL,158.0,1
202148_s_at,PYCR1,5831.0,1
202175_at,CHPF,79586.0,1
202197_at,MTMR3,8897.0,1
202198_s_at,MTMR3,8897.0,0
202201_at,BLVRB,645.0,1
202218_s_at,FADS2,9415.0,1
202219_at,SLC6A8,6535.0,1
202223_at,STT3A,3703.0,1
202234_s_at,SLC16A1,6566.0,1
202235_at,SLC16A1,6566.0,1
202236_s_at,SLC16A1,6566.0,1
202245_at,LSS,4047.0,1
202263_at,CYB5R1,51706.0,1
202275_at,G6PD,2539.0,1
202277_at,SPTLC1,10558.0,1
202278_s_at,SPTLC1,10558.0,1
202282_at,HSD17B10,3028.0,1
202298_at,NDUFA1,4694.0,1
202309_at,MTHFD1,4522.0,1
202321_at,GGPS1,9453.0,1
202322_s_at,GGPS1,9453.0,1
202325_s_at,ATP5J,522.0,1
202326_at,EHMT2,10919.0,1
202331_at,BCKDHA,593.0,1
202338_at,TK1,7083.0,1
202343_x_at,COX5B,1329.0,1
202345_s_at,FABP5,2171.0,1
202366_at,ACADS,35.0,0
202382_s_at,GNPDA1,10007.0,1
202419_at,KDSR,2531.0,1
202422_s_at,ACSL4,2182.0,1
202427_s_at,MPC2,25874.0,1
202428_x_at,DBI,1622.0,1
202434_s_at,CYP1B1,1545.0,1
202435_s_at,CYP1B1,1545.0,1
202436_s_at,CYP1B1,1545.0,1
202437_s_at,CYP1B1,1545.0,1
202438_x_at,IDS,3423.0,1
202439_s_at,IDS,3423.0,1
202447_at,DECR1,1666.0,1
202459_s_at,LPIN2,9663.0,1
202460_s_at,LPIN2,9663.0,1
202464_s_at,PFKFB3,5209.0,1
202471_s_at,IDH3G,3421.0,1
202472_at,MPI,4351.0,1
202481_at,DHRS3,9249.0,1
202497_x_at,SLC2A3,6515.0,0
202498_s_at,SLC2A3,6515.0,0
202499_s_at,SLC2A3,6515.0,1
202502_at,ACADM,34.0,1
202528_at,GALE,2582.0,1
202532_s_at,DHFR,1719.0,1
202533_s_at,DHFR,1719.0,1
202534_x_at,DHFR,1719.0,1
202539_s_at,HMGCR,3156.0,1
202540_s_at,HMGCR,3156.0,1
202587_s_at,AK1,203.0,1
202588_at,AK1,203.0,1
202589_at,TYMS,7298.0,1
202605_at,GUSB,2990.0,1
202607_at,NDST1,3340.0,1
202608_s_at,NDST1,3340.0,0
202613_at,CTPS1,1503.0,1
202671_s_at,PDXK,8566.0,1
202675_at,SDHB,6390.0,1
202679_at,NPC1,4864.0,1
202698_x_at,COX4I1,1327.0,1
202703_at,DUSP11,8446.0,1
202706_s_at,UMPS,7372.0,1
202707_at,UMPS,7372.0,0
202715_at,CAD,790.0,1
202721_s_at,GFPT1,2673.0,1
202722_s_at,GFPT1,2673.0,1
202735_at,EBP,10682.0,1
202743_at,PIK3R3,8503.0,1
202744_at,SLC20A2,6575.0,0
202752_x_at,SLC7A8,23428.0,0
202767_at,ACP2,53.0,1
202772_at,HMGCL,3155.0,1
202780_at,OXCT1,5019.0,1
202783_at,NNT,23530.0,1
202784_s_at,NNT,23530.0,1
202785_at,NDUFA7,4701.0,1
202789_at,PLCG1,5335.0,1
202794_at,INPP1,3628.0,1
202797_at,SACM1L,22908.0,1
202800_at,SLC1A3,6507.0,1
202804_at,ABCC1,4363.0,0
202805_s_at,ABCC1,4363.0,1
202812_at,GAA,2548.0,1
202825_at,SLC25A4,291.0,1
202830_s_at,SLC37A4,2542.0,1
202831_at,GPX2,2877.0,1
202838_at,FUCA1,2517.0,1
202839_s_at,NDUFB7,4713.0,1
202844_s_at,RALBP1,10928.0,1
202845_s_at,RALBP1,10928.0,1
202846_s_at,PIGC,5279.0,1
202847_at,PCK2,5106.0,1
202850_at,ABCD3,5825.0,0
202854_at,HPRT1,3251.0,1
202862_at,FAH,2184.0,0
202872_at,ATP6V1C1,528.0,1
202873_at,ATP6V1C1,528.0,1
202874_s_at,ATP6V1C1,528.0,1
202888_s_at,ANPEP,290.0,1
202915_s_at,FAM20B,9917.0,1
202916_s_at,FAM20B,9917.0,1
202922_at,GCLC,2729.0,1
202923_s_at,GCLC,2729.0,1
202930_s_at,SUCLA2,8803.0,1
202934_at,HK2,3099.0,1
202941_at,NDUFV2,4729.0,1
202942_at,ETFB,2109.0,1
202943_s_at,NAGA,4668.0,1
202944_at,NAGA,4668.0,1
202945_at,FPGS,2356.0,1
202959_at,MUT,4594.0,1
202960_s_at,MUT,4594.0,1
202990_at,PYGL,5836.0,1
202991_at,STARD3,10948.0,1
202997_s_at,LOXL2,4017.0,1
202998_s_at,LOXL2,4017.0,1
202999_s_at,LOXL2,4017.0,0
203006_at,INPP5A,3632.0,1
203011_at,IMPA1,3612.0,1
203027_s_at,MVD,4597.0,1
203031_s_at,UROS,7390.0,1
203032_s_at,FH,2271.0,1
203033_x_at,FH,2271.0,1
203039_s_at,NDUFS1,4719.0,1
203040_s_at,HMBS,3145.0,1
203044_at,CHSY1,22856.0,1
203058_s_at,PAPSS2,9060.0,1
203059_s_at,PAPSS2,9060.0,1
203060_s_at,PAPSS2,9060.0,1
203067_at,PDHX,8050.0,1
203115_at,FECH,2235.0,1
203116_s_at,FECH,2235.0,1
203123_s_at,SLC11A2,4891.0,1
203124_s_at,SLC11A2,4891.0,1
203125_x_at,SLC11A2,4891.0,0
203126_at,IMPA2,3613.0,1
203127_s_at,SPTLC2,9517.0,1
203128_at,SPTLC2,9517.0,1
203155_at,SETDB1,9869.0,1
203157_s_at,GLS,2744.0,1
203158_s_at,GLS,2744.0,1
203159_at,GLS,2744.0,1
203164_at,SLC33A1,9197.0,1
203165_s_at,SLC33A1,9197.0,1
203178_at,GATM,2628.0,0
203179_at,GALT,2592.0,1
203180_at,ALDH1A3,220.0,1
203191_at,ABCB6,10058.0,0
203192_at,ABCB6,10058.0,1
203196_at,ABCC4,10257.0,1
203201_at,PMM2,5373.0,1
203211_s_at,MTMR2,8898.0,1
203212_s_at,MTMR2,8898.0,1
203217_s_at,ST3GAL5,8869.0,1
203219_s_at,APRT,353.0,1
203224_at,RFK,55312.0,1
203225_s_at,RFK,55312.0,1
203228_at,PAFAH1B3,5050.0,1
203234_at,UPP1,7378.0,1
203253_s_at,PPIP5K2,23262.0,1
203270_at,DTYMK,1841.0,1
203282_at,GBE1,2632.0,1
203283_s_at,HS2ST1,9653.0,1
203284_s_at,HS2ST1,9653.0,1
203285_s_at,HS2ST1,9653.0,1
203295_s_at,ATP1A2,477.0,0
203296_s_at,ATP1A2,477.0,0
203302_at,DCK,1633.0,1
203306_s_at,SLC35A1,10559.0,1
203331_s_at,INPP5D,3635.0,0
203332_s_at,INPP5D,3635.0,1
203335_at,PHYH,5264.0,1
203339_at,SLC25A12,8604.0,1
203340_s_at,SLC25A12,8604.0,1
203343_at,UGDH,7358.0,1
203371_s_at,NDUFB3,4709.0,1
203385_at,DGKA,1606.0,1
203392_s_at,CTBP1,1487.0,1
203397_s_at,GALNT3,2591.0,0
203398_s_at,GALNT3,2591.0,0
203401_at,PRPS2,5634.0,1
203419_at,KMT2B,9757.0,1
203423_at,RBP1,5947.0,0
203446_s_at,OCRL,4952.0,1
203452_at,B3GAT3,26229.0,1
203455_s_at,SAT1,6303.0,1
203458_at,SPR,6697.0,1
203467_at,PMM1,5372.0,1
203472_s_at,SLCO2B1,11309.0,0
203473_at,SLCO2B1,11309.0,0
203475_at,CYP19A1,1588.0,0
203478_at,NDUFC1,4717.0,1
203500_at,GCDH,2639.0,1
203502_at,BPGM,669.0,1
203504_s_at,ABCA1,19.0,1
203505_at,ABCA1,19.0,1
203515_s_at,PMVK,10654.0,1
203524_s_at,MPST,4357.0,1
203548_s_at,LPL,4023.0,0
203549_s_at,LPL,4023.0,0
203557_s_at,PCBD1,5092.0,1
203559_s_at,AOC1,26.0,0
203560_at,GGH,8836.0,1
203566_s_at,AGL,178.0,1
203576_at,BCAT2,587.0,1
203578_s_at,SLC7A6,9057.0,1
203579_s_at,SLC7A6,9057.0,1
203580_s_at,SLC7A6,9057.0,1
203606_at,NDUFS6,4726.0,1
203607_at,INPP5F,22876.0,1
203608_at,ALDH5A1,7915.0,1
203609_s_at,ALDH5A1,7915.0,0
203613_s_at,NDUFB6,4712.0,1
203615_x_at,SULT1A1,6817.0,1
203621_at,NDUFB5,4711.0,1
203633_at,CPT1A,1374.0,1
203634_s_at,CPT1A,1374.0,0
203649_s_at,PLA2G2A,5320.0,0
203656_at,FIG4,9896.0,1
203658_at,SLC25A20,788.0,1
203663_s_at,COX5A,9377.0,1
203665_at,HMOX1,3162.0,1
203669_s_at,DGAT1,8694.0,1
203676_at,GNS,2799.0,1
203681_at,IVD,3712.0,0
203682_s_at,IVD,3712.0,1
203699_s_at,DIO2,1734.0,1
203700_s_at,DIO2,1734.0,1
203708_at,PDE4B,5142.0,0
203711_s_at,HIBCH,26275.0,1
203722_at,ALDH4A1,8659.0,1
203723_at,ITPKB,3707.0,0
203741_s_at,ADCY7,113.0,1
203747_at,AQP3,360.0,0
203759_at,ST3GAL4,6484.0,1
203767_s_at,STS,412.0,1
203768_s_at,STS,412.0,0
203769_s_at,STS,412.0,1
203770_s_at,STS,412.0,0
203771_s_at,BLVRA,644.0,1
203772_at,BLVRA,644.0,0
203773_x_at,BLVRA,644.0,1
203774_at,MTR,4548.0,1
203775_at,SLC25A13,10165.0,1
203778_at,MANBA,4126.0,0
203816_at,DGUOK,1716.0,1
203817_at,GUCY1B3,2983.0,0
203879_at,PIK3CD,5293.0,1
203895_at,PLCB4,5332.0,1
203896_s_at,PLCB4,5332.0,1
203902_at,HEPH,9843.0,0
203903_s_at,HEPH,9843.0,0
203908_at,SLC4A4,8671.0,0
203913_s_at,HPGD,3248.0,0
203914_x_at,HPGD,3248.0,0
203916_at,NDST2,8509.0,1
203921_at,CHST2,9435.0,0
203925_at,GCLM,2730.0,1
203926_x_at,ATP5D,513.0,1
203939_at,NT5E,4907.0,1
203945_at,ARG2,384.0,1
203946_s_at,ARG2,384.0,1
203948_s_at,MPO,4353.0,0
203949_at,MPO,4353.0,0
203963_at,CA12,771.0,0
203979_at,CYP27A1,1593.0,0
203980_at,FABP4,2167.0,0
204041_at,MAOB,4129.0,0
204044_at,QPRT,23475.0,0
204046_at,PLCB2,5330.0,0
204053_x_at,PTEN,5728.0,1
204054_at,PTEN,5728.0,1
204056_s_at,MVK,4598.0,0
204058_at,ME1,4199.0,1
204059_s_at,ME1,4199.0,1
204067_at,SUOX,6821.0,1
204076_at,ENTPD4,9583.0,1
204077_x_at,ENTPD4,9583.0,1
204087_s_at,SLC5A6,8884.0,1
204091_at,PDE6D,5147.0,1
204110_at,HNMT,3176.0,0
204111_at,HNMT,3176.0,0
204112_s_at,HNMT,3176.0,0
204119_s_at,ADK,132.0,1
204120_s_at,ADK,132.0,1
204124_at,SLC34A2,10568.0,0
204130_at,HSD11B2,3291.0,0
204134_at,PDE2A,5138.0,0
204144_s_at,PIGQ,9091.0,1
204151_x_at,AKR1C1,1645.0,0
204154_at,CDO1,1036.0,0
204158_s_at,TCIRG1,10312.0,1
204167_at,BTD,686.0,1
204168_at,MGST2,4258.0,1
204169_at,IMPDH1,3614.0,1
204172_at,CPOX,1371.0,1
204187_at,GMPR,2766.0,0
204193_at,CHKB,1120.0,1
204209_at,PCYT1A,5130.0,1
204210_s_at,PCYT1A,5130.0,1
204212_at,ACOT8,10005.0,1
204224_s_at,GCH1,2643.0,1
204227_s_at,TK2,7084.0,1
204229_at,SLC17A7,57030.0,0
204230_s_at,SLC17A7,57030.0,1
204233_s_at,CHKA,1119.0,1
204241_at,ACOX3,8310.0,1
204242_s_at,ACOX3,8310.0,0
204245_s_at,RPP14,11102.0,1
204256_at,ELOVL6,79071.0,1
204257_at,FADS3,3995.0,1
204263_s_at,CPT2,1376.0,1
204264_at,CPT2,1376.0,1
204266_s_at,CHKA,1119.0,1
