Reaction ID,Confidence Score
EX_10fthf_e,0
EX_11_cis_retfa_e,0
EX_13_cis_oretn_e,0
EX_13_cis_retn_e,0
EX_13_cis_retnglc_e,0
EX_1a25dhvitd3_e,0
EX_1glyc_hs_e,0
EX_1mncam_e,0
EX_23cump_e,0
EX_2425dhvitd2_e,0
EX_2425dhvitd3_e,0
EX_24nph_e,0
EX_25hvitd2_e,0
EX_25hvitd3_e,0
EX_2hb_e,0
EX_2mcit_e,0
EX_34dhoxpeg_e,0
EX_34dhphe_e,0
EX_34hpp_e,0
EX_35cgmp_e,0
EX_3aib__D_e,0
EX_3aib_e,0
EX_3bcrn_e,0
EX_3ddcrn_e,0
EX_3deccrn_e,0
EX_3hdececrn_e,0
EX_3hexdcrn_e,0
EX_3ivcrn_e,0
EX_3mlda_e,0
EX_3mob_e,0
EX_3mop_e,0
EX_3octdec2crn_e,0
EX_3octdeccrn_e,0
EX_3octdece1crn_e,0
EX_3tdcrn_e,0
EX_3tetd7ecoacrn_e,0
EX_3thexddcoacrn_e,0
EX_3ttetddcoacrn_e,0
EX_3ump_e,0
EX_4abut_e,0
EX_4abutn_e,0
EX_4hdebrisoquine_e,0
EX_4hphac_e,0
EX_4hpro_LT_e,0
EX_4mop_e,0
EX_4mptnl_e,0
EX_4mtolbutamide_e,0
EX_4nph_e,0
EX_4nphsf_e,0
EX_4pyrdx_e,0
EX_5HPET_e,0
EX_5adtststerone_e,0
EX_5adtststeroneglc_e,0
EX_5fthf_e,0
EX_5homeprazole_e,0
EX_5htrp_e,0
EX_5mta_e,0
EX_5mthf_e,0
EX_5oxpro_e,0
EX_6htststerone_e,0
EX_9_cis_retfa_e,0
EX_Asn_X_Ser_Thr_e,0
EX_C02470_e,0
EX_C02528_e,0
EX_C04849_e,0
EX_12HPET_e,0
EX_CE0074_e,0
EX_CE1940_e,0
EX_CE1950_e,0
EX_CE2011_e,0
EX_CE2250_e,0
EX_CE2838_e,0
EX_CE2839_e,0
EX_CE4633_e,0
EX_CE4881_e,0
EX_CE5797_e,0
EX_CE5798_e,0
EX_HC00229_e,0
EX_HC00250_e,0
EX_HC00342_e,0
EX_HC00822_e,0
EX_HC00955_e,0
EX_HC01104_e,0
EX_HC01361_e,0
EX_HC01440_e,0
EX_HC01441_e,0
EX_HC01444_e,0
EX_HC01446_e,0
EX_HC01577_e,0
EX_HC01609_e,0
EX_HC01610_e,0
EX_HC01700_e,0
EX_HC01787_e,0
EX_HC02154_e,0
EX_HC02160_e,0
EX_HC02161_e,0
EX_HC02172_e,0
EX_ddca_e,0
EX_wharachd_e,0
EX_HC02180_e,0
EX_HC02187_e,0
EX_HC02191_e,0
EX_HC02192_e,0
EX_CE5560_e,0
EX_HC02194_e,1
EX_HC02195_e,0
EX_HC02196_e,0
EX_HC02197_e,0
EX_HC02198_e,0
EX_HC02199_e,0
EX_HC02200_e,0
EX_HC02201_e,0
EX_HC02202_e,0
EX_HC02203_e,0
EX_HC02204_e,0
EX_HC02205_e,0
EX_HC02206_e,0
